clust,age,price,time,sex_Ж,sex_М,sex_nan,classes_СВ,classes_купе,classes_люкс,classes_плацкарт,classes_nan,disability_Да,disability_Нет,disability_nan,preferential_Да,preferential_Нет,preferential_nan,job_Водители и операторы подвижного оборудования,job_Неквалифицированные работники по сбору мусора и другие неквалифицированные работники,"job_Неквалифицированные рабочие сельского и лесного хозяйства, рыбоводства и рыболовства","job_Неквалифицированные рабочие, занятые в горнодобывающей промышленности, строительстве, обрабатывающей промышленности и на транспорте",job_Операторы промышленных установок и стационарногооборудования,job_Продавцы,"job_Работники служб, осуществляющих охрану граждан и собственности",job_Работники сферы индивидуальных услуг,"job_Работники, оказывающие услуги по индивидуальному уходу",job_Рабочие в области электротехники и электроники,"job_Рабочие пищевой, деревообрабатывающей, текстильной и швейной промышленности и рабочие родственных занятий","job_Рабочие, занятые в металлообрабатывающем и машиностроительном производстве, механики и ремонтники","job_Рабочие, занятые в строительстве, и рабочие родственных занятий (за исключением электриков)",job_Служащие в сфере обработки числовой информации и учета материальных ценностей,job_Служащие общего профиляи обслуживающие офисную технику,job_Специалисты в области здравоохранения,job_Специалисты в области науки и техники,job_Специалисты в области образования,"job_Специалисты в области права, гуманитарных областей и культуры",job_Специалисты в сфере бизнеса и администрирования,job_Специалисты по информационно-коммуникационным технологиям (ИКТ),job_Специалисты-техники в области информационно-коммуникационных технологий (ИКТ),job_Специалисты-техники в области науки и техники,job_Средний медицинский персонал здравоохранения,"job_Средний специальный персонал в области правовой, социальной работы, культуры, обучения, спорта и родственных занятий",job_Средний специальный персонал по экономической и административной деятельности,job_Уборщики и прислуга ,job_nan,city_г. Абакан,city_г. Альметьевск,city_г. Ангарск,city_г. Арзамас,city_г. Армавир,city_г. Артем,city_г. Архангельск,city_г. Астрахань,city_г. Ачинск,city_г. Балаково,city_г. Балашиха,city_г. Барнаул,city_г. Батайск,city_г. Белгород,city_г. Березники,city_г. Бийск,city_г. Благовещенск,city_г. Братск,city_г. Брянск,city_г. Великий Новгород,city_г. Владивосток,city_г. Владикавказ,city_г. Владимир,city_г. Волгоград,city_г. Волгодонск,city_г. Волжский,city_г. Вологда,city_г. Воронеж,city_г. Грозный,city_г. Дербент,city_г. Дзержинск,city_г. Долгопрудный,city_г. Домодедово,city_г. Евпатория,city_г. Екатеринбург,city_г. Елец,city_г. Ессентуки,city_г. Железногорск,city_г. Зеленодольск,city_г. Златоуст,city_г. Иваново,city_г. Ижевск,city_г. Иркутск,city_г. Йошкар-Ола,city_г. Казань,city_г. Калининград,city_г. Калуга,city_г. Каменск - Уральский,city_г. Каспийск,city_г. Кемерово,city_г. Керчь,city_г. Киров,city_г. Кисловодск,city_г. Ковров,city_г. Коломна,city_г. Комсомольск-на-Амуре,city_г. Копейск,city_г. Королёв,city_г. Кострома,city_г. Красногорск,city_г. Краснодар,city_г. Красноярск,city_г. Курган,city_г. Курск,city_г. Липецк,city_г. Люберцы,city_г. Магнитогорск,city_г. Майкоп,city_г. Махачкала,city_г. Москва,city_г. Мурманск,city_г. Муром,city_г. Мытищи,city_г. Наб. Челны,city_г. Назрань,city_г. Нальчик,city_г. Находка,city_г. Невинномысск,city_г. Нефтеюганск,city_г. Нижневартовск,city_г. Нижний Новгород,city_г. Нижний Тагил,city_г. Новокузнецк,city_г. Новокуйбышевск,city_г. Новомосковск,city_г. Новороссийск,city_г. Новосибирск,city_г. Новочебоксарск,city_г. Новочеркасск,city_г. Новый Уренгой,city_г. Ногинск,city_г. Норильск,city_г. Ноябрьск,city_г. Обнинск,city_г. Одинцово,city_г. Октябрьский,city_г. Омск,city_г. Оренбург,city_г. Орехово-Зуево,city_г. Орск,city_г. Орёл,city_г. Пенза,city_г. Первоуральск,city_г. Пермь,city_г. Петрозаводск,city_г. Петропавловск-Камчатский,city_г. Подольск,city_г. Прокопьевск,city_г. Псков,city_г. Пушкино,city_г. Пятигорск,city_г. Раменское,city_г. Ростов-на-Дону,city_г. Рубцовск,city_г. Рыбинск,city_г. Рязань,city_г. Салават,city_г. Самара,city_г. Санкт-Петербург,city_г. Саранск,city_г. Саратов,city_г. Севастополь,city_г. Северодвинск,city_г. Северск,city_г. Сергиев Посад,city_г. Симферополь,city_г. Смоленск,city_г. Сочи,city_г. Ставрополь,city_г. Старый Оскол,city_г. Стерлитамак,city_г. Сургут,city_г. Сызрань,city_г. Сыктывкар,city_г. Таганрог,city_г. Тамбов,city_г. Тверь,city_г. Тольятти,city_г. Томск,city_г. Тула,city_г. Тюмень,city_г. Улан-Удэ,city_г. Ульяновск,city_г. Уссурийск,city_г. Уфа,city_г. Хабаровск,city_г. Ханты-Мансийск,city_г. Хасавюрт,city_г. Химки,city_г. Чебоксары,city_г. Челябинск,city_г. Череповец,city_г. Черкесск,city_г. Чита,city_г. Шахты,city_г. Электросталь,city_г. Элиста,city_г. Энгельс,city_г. Южно-Сахалинск,city_г. Якутск,city_г. Ярославль,city_nan,marit_status_в браке,marit_status_вдова,marit_status_вдовец,marit_status_не состоял в браке,marit_status_не состояла в браке,marit_status_разведен,marit_status_разведена,marit_status_nan,education_высшее,education_неполное высшее,education_среднее общее,education_среднее профессиональное,education_nan,childs_1,childs_2,childs_3,childs_4,childs_5,childs_Нет,childs_nan,networks_facebook,networks_instagram,networks_tiktok,networks_vk,networks_Нет,networks_одноклассники,networks_nan
0,36.18037974683544,22580.01582278481,80.4367088607595,177.0,139.0,0.0,3.0,141.0,0.0,172.0,0.0,20.0,296.0,0.0,2.0,314.0,0.0,12.0,3.0,1.0,1.0,4.0,6.0,3.0,4.0,1.0,1.0,2.0,5.0,4.0,2.0,1.0,0.0,4.0,2.0,4.0,2.0,1.0,0.0,3.0,3.0,0.0,5.0,3.0,239.0,1.0,1.0,2.0,0.0,3.0,1.0,1.0,5.0,0.0,0.0,3.0,3.0,0.0,6.0,1.0,0.0,2.0,1.0,2.0,1.0,4.0,2.0,2.0,6.0,0.0,0.0,2.0,3.0,0.0,0.0,1.0,1.0,1.0,0.0,9.0,0.0,1.0,1.0,0.0,0.0,2.0,1.0,5.0,4.0,6.0,1.0,1.0,0.0,0.0,1.0,1.0,2.0,1.0,0.0,0.0,2.0,0.0,1.0,0.0,1.0,9.0,3.0,2.0,2.0,1.0,1.0,3.0,1.0,5.0,48.0,0.0,1.0,2.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,2.0,1.0,6.0,0.0,1.0,1.0,6.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,6.0,4.0,0.0,0.0,1.0,2.0,1.0,4.0,2.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,4.0,0.0,0.0,2.0,2.0,6.0,16.0,1.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,3.0,2.0,1.0,8.0,1.0,0.0,2.0,2.0,2.0,9.0,1.0,1.0,2.0,0.0,1.0,0.0,1.0,1.0,2.0,1.0,0.0,61.0,0.0,0.0,10.0,16.0,2.0,4.0,223.0,34.0,0.0,22.0,59.0,201.0,55.0,27.0,13.0,13.0,9.0,120.0,79.0,45.0,25.0,13.0,39.0,175.0,19.0,0.0
1,40.70646766169154,13816.92039800995,51.601990049751244,222.0,180.0,0.0,22.0,111.0,12.0,257.0,0.0,22.0,380.0,0.0,4.0,398.0,0.0,13.0,0.0,0.0,1.0,2.0,2.0,3.0,4.0,1.0,2.0,1.0,13.0,1.0,1.0,3.0,1.0,7.0,3.0,5.0,5.0,1.0,1.0,7.0,5.0,1.0,4.0,2.0,313.0,0.0,1.0,1.0,0.0,1.0,0.0,2.0,1.0,1.0,1.0,3.0,1.0,1.0,4.0,2.0,1.0,0.0,1.0,3.0,2.0,5.0,2.0,0.0,7.0,1.0,0.0,4.0,3.0,2.0,1.0,0.0,0.0,0.0,2.0,10.0,2.0,1.0,0.0,1.0,1.0,2.0,5.0,2.0,3.0,5.0,5.0,2.0,1.0,0.0,2.0,1.0,3.0,0.0,0.0,1.0,1.0,0.0,2.0,1.0,0.0,5.0,6.0,2.0,5.0,4.0,0.0,3.0,1.0,4.0,62.0,1.0,1.0,1.0,3.0,1.0,0.0,0.0,0.0,1.0,4.0,6.0,1.0,2.0,1.0,1.0,4.0,3.0,1.0,3.0,0.0,2.0,2.0,1.0,1.0,1.0,1.0,4.0,5.0,1.0,1.0,3.0,5.0,0.0,7.0,0.0,1.0,2.0,1.0,1.0,0.0,0.0,1.0,7.0,1.0,3.0,5.0,0.0,3.0,25.0,1.0,6.0,2.0,0.0,1.0,1.0,3.0,1.0,2.0,8.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,1.0,2.0,2.0,3.0,9.0,3.0,6.0,2.0,2.0,2.0,1.0,0.0,1.0,3.0,8.0,0.0,0.0,1.0,0.0,0.0,1.0,4.0,0.0,5.0,3.0,0.0,69.0,2.0,2.0,14.0,15.0,7.0,7.0,286.0,52.0,3.0,23.0,83.0,241.0,66.0,33.0,22.0,11.0,13.0,131.0,126.0,57.0,36.0,9.0,44.0,226.0,30.0,0.0
2,67.40070921985816,19561.18439716312,69.69148936170212,151.0,131.0,0.0,10.0,124.0,0.0,148.0,0.0,25.0,257.0,0.0,16.0,266.0,0.0,2.0,2.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,263.0,1.0,0.0,1.0,1.0,1.0,0.0,2.0,3.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,6.0,0.0,2.0,3.0,1.0,2.0,3.0,9.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,2.0,1.0,3.0,2.0,2.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,2.0,2.0,1.0,0.0,4.0,5.0,1.0,1.0,0.0,0.0,2.0,0.0,2.0,48.0,2.0,0.0,2.0,1.0,0.0,2.0,1.0,1.0,0.0,0.0,3.0,1.0,3.0,0.0,1.0,0.0,5.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,0.0,3.0,0.0,1.0,0.0,0.0,5.0,4.0,0.0,2.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,1.0,5.0,0.0,1.0,2.0,1.0,6.0,26.0,2.0,3.0,0.0,2.0,1.0,2.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,2.0,1.0,1.0,2.0,3.0,2.0,2.0,3.0,0.0,0.0,0.0,3.0,6.0,0.0,0.0,0.0,3.0,6.0,1.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,58.0,12.0,4.0,1.0,4.0,1.0,8.0,194.0,33.0,1.0,27.0,45.0,176.0,52.0,27.0,9.0,7.0,9.0,96.0,82.0,30.0,5.0,2.0,3.0,165.0,77.0,0.0
