thread_num;start_coord;end_coord;defect_code;left_border_content;right_border_content
0;380269;380914;00.0;Начало дефектной зоны;нет_0_съехала искательная система
0;381523;381846;30.2;;Пропуск_2345_нихрена ваша программа не работает
1;1129274;1129917;00.0;Начало дефектной зоны;Конец дефектной зоны
1;1271012;1271933;00.0;Начало дефектной зоны;нет_5_насечкаой зоны
1;1292186;1293035;00.0;Начало дефектной зоны;нет_0.1.2.3.4.5.6.7.8.9_болтовой стык
1;3347559;3348664;00.0;Начало дефектной зоны;Да_4_развитие дефекта
